,title,body,age,educated,region,url
163,2019 서울형 뉴딜일자리 사업,시민생활에 필요한 서비스를 제공하고 참여자에게는 일 경험 제공 및 직업역량 배양을 통해 참여자의 민간일자리 진입을 촉진하기 위해 추진,만 18세 이상의,제한없음,서울특별시 구로구,http://job.seoul.go.kr
164,일자리카페,"청년이 편리하게 취업지원서비스를 통합이용할 수 있는 일자리 카페 운영
청년들이 자유롭게 취업을 준비하며 정보공유, 토론, 세미나 등을 실시할 수 있는 협업공간 운영",만 18세 이상 39세 이하,제한없음,서울특별시 구로구,http://job.seoul.go.kr
165,청년 중소기업 체험 사업,청년들에게 다양한 직업세계 및 산업현장에 대한 체험기회를 제공하고 우수한 중소기업에 대한 정보제공을 통해 청년취업난 해소와 우리구의 지속적인 청년일자리 창출에 기여하고자 함,만 15세 이상 34세 이하,제한없응,서울특별시 구로구,http://www.guro.go.kr
166,구로형 청년내일채움공제 사업,"고용노동부 청년내일채움공제 사업과 연계하여 미취업 청년에게는 중소기업 등의 정규직 일자리 취업 및 장기근속,자산형성을 유도하고, 기업에게는 정규직 채용 분위기를 조성,확산시켜 정부의 정책에 호응하고자함.",만15~34세이하, 제한없음,서울특별시 구로구,http://www.guro.go.kr
167,지역주도형 청년일자리사업,"○청년에게 적합한 지역 일자리를 발굴,제공하여, 자산형성이 가능한 수준의 소득을 창출하는 지속간으한 경제활동 지원                                                             ○청년이 지역공동체 발전, 지역사회문제 해결에 기여할 수 있도록 지원하여 지역균형발전, 자치분권의 주체로서 청년의 역할 정립",만19세~39세이하,제한없음,서울특별시 구로구,http://www.guro.go.kr
168,대학생 아르바이트,"전공 및 적성별로 모집하여 방학동안 다양한 구정업무 참여를 통한 사회경험을 쌓는 기회를 제공하고자 함, 구로구에서는 일자리 창출을 유도하고 다양한 사회경험의 기회를 제공",-,"대학 재학, 대졸 예정 ",서울특별시 구로구,http://www.guro.go.kr
169,청년 뉴미디어 크리에이터 전문인력 양성사업,최근 청년층이 선호하고 미래의 고부가 가치 산업인 유투버 등의 뉴미디어   크리에이터 양성 교육을 실시하여 청년 일자리 창출에 기여하고자 함. ,만 39세 이하 청년,제한없음,서울특별시 구로구,http://www.guro.go.kr
170,지역공동체일자리사업,근로의사가 있는 구민에게 일자리를 제공하기 위해 정부에서 지원,만 18세 이상,고교 졸업,서울특별시 구로구,http://www.guro.go.kr
171,G밸리 기업 맞춤형 빅데이터 전문인력 양성사업,"미래 지향적인 빅데이터 분야의 전문 인력 육성을 통해 맞춤형 교육 및 인재양성, 신규채용 수요가 있는 민간기업 채용분야를 발굴하여 맞춤형 인재양성 후 취업연계",만 39세 이하 청년,제한없음,서울특별시 구로구,http://www.guro.go.kr
172,캠퍼스타운 조성 사업 지원,"1) 창업활성화 프로그램 - 청년·중장년 맞춤형 창업지원 2) 상권활성화 프로그램 - 상점 브랜딩, 간판개선, 정보제공 3) 지역협력 프로그램 - 주민소통공간 구축 / 환경개선
1) 사회적 경제 창업 프로그램 - 창업 교육, 캠프, 멘토링 등 2) 다문화중도입국청소년 자립 지원 - 활동가 양성, 맞춤형 지원 3) 마을문화육성 프로그램 - 마을문화 활동가·전문가 양성 등 ",-,대학 재학,서울특별시 구로구,https://blog.naver.com/dy_campustown
